Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRM35,9.695,Low Fat,7.0,Hard Drinks,177.53,OUT035,2004,Small,Tier 2,Supermarket Type1,3033.0
FDV16,7.75,Regular,8.3,Frozen Foods,35.26,OUT046,1997,Small,Tier 1,Supermarket Type1,781.0
FDY19,19.75,Low Fat,4.1,Fruits and Vegetables,115.85,OUT013,1987,High,Tier 3,Supermarket Type1,2475.0
FDY12,9.8,Regular,23.5,Baking Goods,50.8,OUT010,1998,,Tier 3,Grocery Store,101.0
FDM15,11.8,Regular,5.8,Meat,152.44,OUT017,2007,,Tier 2,Supermarket Type1,3930.0
FDP12,9.8,Regular,4.5,Baking Goods,36.89,OUT049,1999,Medium,Tier 1,Supermarket Type1,565.0
FDT21,7.42,Low Fat,2.0,Snack Foods,248.01,OUT013,1987,High,Tier 3,Supermarket Type1,1245.0
DRE49,20.75,Low Fat,3.6,Soft Drinks,151.8,OUT010,1998,,Tier 3,Grocery Store,152.0
FDN16,12.6,Regular,6.3,Frozen Foods,104.0,OUT049,1999,Medium,Tier 1,Supermarket Type1,826.0
FDE04,19.75,Regular,1.8,Frozen Foods,179.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,2696.0
FDC51,10.895,Regular,1.0,Dairy,122.97,OUT013,1987,High,Tier 3,Supermarket Type1,1232.0
FDO04,16.6,Low Fat,2.7,Frozen Foods,53.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,939.0
FDD41,6.765,Regular,8.8,Frozen Foods,105.33,OUT017,2007,,Tier 2,Supermarket Type1,2091.0
FDI45,13.1,Low Fat,3.8,Fruits and Vegetables,175.81,OUT045,2002,,Tier 2,Supermarket Type1,2802.0
NCB18,,Low Fat,4.1,Household,89.55,OUT027,1985,Medium,Tier 3,Supermarket Type3,3365.0
FDW51,6.155,Regular,9.5,Meat,213.96,OUT017,2007,,Tier 2,Supermarket Type1,2344.0
NCK07,10.65,Low Fat,4.9,Others,164.15,OUT046,1997,Small,Tier 1,Supermarket Type1,1809.0
FDZ45,,Low Fat,11.7,Snack Foods,197.91,OUT019,1985,Small,Tier 1,Grocery Store,992.0
FDB37,20.25,Regular,2.3,Baking Goods,241.85,OUT046,1997,Small,Tier 1,Supermarket Type1,5768.0
FDZ60,20.5,Low Fat,11.9,Baking Goods,106.06,OUT035,2004,Small,Tier 2,Supermarket Type1,971.0
FDN04,11.8,Regular,1.4,Frozen Foods,176.83,OUT013,1987,High,Tier 3,Supermarket Type1,3569.0
FDW47,15.0,Low Fat,4.6,Breads,120.04,OUT013,1987,High,Tier 3,Supermarket Type1,3533.0
FDB17,13.15,Low Fat,3.7,Frozen Foods,180.8,OUT013,1987,High,Tier 3,Supermarket Type1,6157.0
FDR56,15.5,Regular,10.1,Fruits and Vegetables,198.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,4730.0
FDU55,,Low Fat,3.6,Fruits and Vegetables,260.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,9372.0
FDH40,11.6,Regular,7.9,Frozen Foods,81.73,OUT017,2007,,Tier 2,Supermarket Type1,1949.0
FDH05,14.35,reg,9.1,Frozen Foods,231.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,4634.0
FDX58,13.15,LF,4.4,Snack Foods,182.7,OUT045,2002,,Tier 2,Supermarket Type1,4211.0
FDC51,10.895,Regular,1.0,Dairy,121.67,OUT035,2004,Small,Tier 2,Supermarket Type1,1971.0
NCR05,10.1,Low Fat,5.5,Health and Hygiene,199.51,OUT017,2007,,Tier 2,Supermarket Type1,3373.0
DRH25,18.7,Low Fat,1.5,Soft Drinks,50.83,OUT017,2007,,Tier 2,Supermarket Type1,935.0
NCR53,12.15,Low Fat,14.5,Health and Hygiene,224.04,OUT049,1999,Medium,Tier 1,Supermarket Type1,3376.0
FDS04,10.195,Regular,14.7,Frozen Foods,138.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2388.0
FDC03,8.575,Regular,7.2,Dairy,193.38,OUT013,1987,High,Tier 3,Supermarket Type1,780.0
FDP44,16.5,Regular,13.3,Fruits and Vegetables,102.23,OUT010,1998,,Tier 3,Grocery Store,103.0
FDK16,9.065,Low Fat,11.6,Frozen Foods,95.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,1714.0
NCC30,16.6,Low Fat,2.8,Household,178.73,OUT046,1997,Small,Tier 1,Supermarket Type1,1606.0
FDZ26,11.6,Regular,24.1,Dairy,238.52,OUT010,1998,,Tier 3,Grocery Store,717.0
NCO54,19.5,Low Fat,1.4,Household,57.16,OUT018,2009,Medium,Tier 3,Supermarket Type2,1382.0
NCP41,16.6,Low Fat,2.7,Health and Hygiene,106.26,OUT010,1998,,Tier 3,Grocery Store,216.0
DRE27,11.85,Low Fat,13.3,Dairy,98.07,OUT049,1999,Medium,Tier 1,Supermarket Type1,1077.0
FDQ10,12.85,Low Fat,3.3,Snack Foods,170.64,OUT013,1987,High,Tier 3,Supermarket Type1,2932.0
NCU42,9.0,Low Fat,2.0,Household,170.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,4211.0
FDX43,5.655,Low Fat,8.5,Fruits and Vegetables,165.85,OUT035,2004,Small,Tier 2,Supermarket Type1,1831.0
NCD19,8.93,Low Fat,1.3,Household,55.16,OUT046,1997,Small,Tier 1,Supermarket Type1,939.0
NCI54,15.2,Low Fat,3.4,Household,108.19,OUT035,2004,Small,Tier 2,Supermarket Type1,1856.0
FDS37,7.655,Low Fat,5.3,Canned,114.15,OUT010,1998,,Tier 3,Grocery Store,116.0
FDO25,,Low Fat,12.7,Canned,209.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,4614.0
FDS57,15.5,Low Fat,10.4,Snack Foods,143.55,OUT049,1999,Medium,Tier 1,Supermarket Type1,1431.0
FDI52,18.7,Low Fat,10.5,Frozen Foods,122.11,OUT049,1999,Medium,Tier 1,Supermarket Type1,490.0
DRK12,9.5,Low Fat,4.2,Soft Drinks,31.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.0
FDG40,13.65,Low Fat,4.0,Frozen Foods,34.46,OUT017,2007,,Tier 2,Supermarket Type1,611.0
FDU49,19.5,Regular,3.1,Canned,86.25,OUT045,2002,,Tier 2,Supermarket Type1,2164.0
FDR49,8.71,Low Fat,0.0,Canned,46.54,OUT013,1987,High,Tier 3,Supermarket Type1,575.0
FDF40,,Regular,3.9,Dairy,247.81,OUT019,1985,Small,Tier 1,Grocery Store,498.0
DRE03,19.6,Low Fat,2.4,Dairy,46.37,OUT017,2007,,Tier 2,Supermarket Type1,662.0
FDR55,,Regular,13.1,Fruits and Vegetables,189.19,OUT027,1985,Medium,Tier 3,Supermarket Type3,5294.0
NCU05,11.8,Low Fat,5.9,Health and Hygiene,82.36,OUT035,2004,Small,Tier 2,Supermarket Type1,1208.0
FDR36,6.715,reg,12.2,Baking Goods,40.35,OUT017,2007,,Tier 2,Supermarket Type1,839.0
NCM30,19.1,LF,6.7,Household,39.68,OUT013,1987,High,Tier 3,Supermarket Type1,660.0
FDH24,20.7,Low Fat,2.1,Baking Goods,156.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,3928.0
DRO47,10.195,Low Fat,11.3,Hard Drinks,113.99,OUT018,2009,Medium,Tier 3,Supermarket Type2,453.0
FDQ49,20.2,Regular,3.9,Breakfast,155.16,OUT017,2007,,Tier 2,Supermarket Type1,782.0
DRJ37,10.8,Low Fat,6.1,Soft Drinks,151.9,OUT046,1997,Small,Tier 1,Supermarket Type1,2581.0
NCJ42,19.75,Low Fat,1.4,Household,100.83,OUT018,2009,Medium,Tier 3,Supermarket Type2,1538.0
FDD05,19.35,Low Fat,1.7,Frozen Foods,120.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1687.0
FDC39,7.405,Low Fat,16.0,Dairy,206.63,OUT018,2009,Medium,Tier 3,Supermarket Type2,3116.0
NCY06,15.25,Low Fat,6.1,Household,128.9,OUT045,2002,,Tier 2,Supermarket Type1,2349.0
NCS06,,Low Fat,5.6,Household,263.59,OUT019,1985,Small,Tier 1,Grocery Store,263.0
FDE16,8.895,Low Fat,2.6,Frozen Foods,207.9,OUT045,2002,,Tier 2,Supermarket Type1,3543.0
NCQ50,18.75,Low Fat,3.4,Household,215.22,OUT046,1997,Small,Tier 1,Supermarket Type1,4702.0
FDX50,20.1,Low Fat,7.5,Dairy,110.32,OUT046,1997,Small,Tier 1,Supermarket Type1,1768.0
NCL41,12.35,Low Fat,4.2,Health and Hygiene,35.72,OUT017,2007,,Tier 2,Supermarket Type1,519.0
FDM58,16.85,Regular,8.0,Snack Foods,111.85,OUT018,2009,Medium,Tier 3,Supermarket Type2,1678.0
FDH35,18.25,Low Fat,10.1,Starchy Foods,166.35,OUT010,1998,,Tier 3,Grocery Store,164.0
FDS50,17.0,Low Fat,5.6,Dairy,219.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,1109.0
FDT09,,Regular,1.2,Snack Foods,133.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,4350.0
FDR60,14.3,Low Fat,13.1,Baking Goods,76.73,OUT018,2009,Medium,Tier 3,Supermarket Type2,1313.0
FDG22,17.6,Regular,4.1,Snack Foods,35.02,OUT046,1997,Small,Tier 1,Supermarket Type1,659.0
FDL52,,Regular,4.6,Frozen Foods,37.95,OUT027,1985,Medium,Tier 3,Supermarket Type3,911.0
DRJ39,20.25,Low Fat,3.6,Dairy,218.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.0
FDW45,18.0,Low Fat,3.9,Snack Foods,145.14,OUT017,2007,,Tier 2,Supermarket Type1,2649.0
NCQ38,16.35,Low Fat,1.3,Others,106.03,OUT045,2002,,Tier 2,Supermarket Type1,1065.0
FDB26,14.0,reg,3.1,Canned,53.76,OUT017,2007,,Tier 2,Supermarket Type1,799.0
DRG48,5.78,Low Fat,1.5,Soft Drinks,145.21,OUT046,1997,Small,Tier 1,Supermarket Type1,3062.0
FDH10,21.0,Low Fat,8.3,Snack Foods,191.85,OUT010,1998,,Tier 3,Grocery Store,775.0
FDP28,13.65,Regular,8.1,Frozen Foods,262.89,OUT049,1999,Medium,Tier 1,Supermarket Type1,4959.0
FDJ44,12.3,Regular,17.8,Fruits and Vegetables,173.14,OUT010,1998,,Tier 3,Grocery Store,698.0
FDI07,12.35,reg,3.4,Meat,196.94,OUT045,2002,,Tier 2,Supermarket Type1,2768.0
DRJ24,11.8,Low Fat,11.4,Soft Drinks,185.19,OUT017,2007,,Tier 2,Supermarket Type1,2591.0
DRL47,19.7,Low Fat,3.9,Hard Drinks,127.34,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0
FDP38,10.1,Low Fat,3.2,Canned,50.9,OUT013,1987,High,Tier 3,Supermarket Type1,354.0
FDK02,,Low Fat,19.6,Canned,120.54,OUT019,1985,Small,Tier 1,Grocery Store,479.0
FDO23,17.85,Low Fat,14.6,Breads,94.14,OUT013,1987,High,Tier 3,Supermarket Type1,1607.0
NCE54,20.7,Low Fat,2.7,Household,74.64,OUT013,1987,High,Tier 3,Supermarket Type1,1053.0
FDS52,8.89,low fat,0.5,Frozen Foods,99.7,OUT046,1997,Small,Tier 1,Supermarket Type1,1923.0
FDW01,14.5,Low Fat,6.4,Canned,153.47,OUT035,2004,Small,Tier 2,Supermarket Type1,1677.0
NCF07,9.0,Low Fat,3.2,Household,100.8,OUT017,2007,,Tier 2,Supermarket Type1,1113.0
DRE15,13.35,Low Fat,1.8,Dairy,77.5,OUT018,2009,Medium,Tier 3,Supermarket Type2,1518.0
FDR58,6.675,Low Fat,4.2,Snack Foods,92.35,OUT046,1997,Small,Tier 1,Supermarket Type1,2406.0
FDL24,10.3,Regular,2.5,Baking Goods,173.04,OUT013,1987,High,Tier 3,Supermarket Type1,2069.0
FDQ25,,Regular,2.8,Canned,173.74,OUT027,1985,Medium,Tier 3,Supermarket Type3,3621.0
FDX56,17.1,Regular,7.4,Fruits and Vegetables,207.06,OUT013,1987,High,Tier 3,Supermarket Type1,4970.0
FDD20,14.15,LF,2.1,Fruits and Vegetables,123.6,OUT018,2009,Medium,Tier 3,Supermarket Type2,1245.0
DRF60,10.8,Low Fat,5.2,Soft Drinks,236.56,OUT017,2007,,Tier 2,Supermarket Type1,5244.0
FDW13,8.5,Low Fat,9.8,Canned,51.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,935.0
FDF09,6.215,Low Fat,1.2,Fruits and Vegetables,39.28,OUT013,1987,High,Tier 3,Supermarket Type1,522.0
FDY45,17.5,Low Fat,0.0,Snack Foods,253.04,OUT035,2004,Small,Tier 2,Supermarket Type1,4578.0
FDR26,20.7,Low Fat,4.3,Dairy,178.3,OUT045,2002,,Tier 2,Supermarket Type1,1063.0
FDZ01,8.975,Regular,0.9,Canned,103.4,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.0
FDH53,20.5,Regular,3.2,Frozen Foods,83.96,OUT010,1998,,Tier 3,Grocery Store,165.0
FDG52,13.65,Low Fat,6.6,Frozen Foods,46.14,OUT018,2009,Medium,Tier 3,Supermarket Type2,459.0
FDW50,13.1,Low Fat,7.6,Dairy,167.52,OUT045,2002,,Tier 2,Supermarket Type1,1504.0
FDX49,4.615,Regular,10.2,Canned,232.23,OUT035,2004,Small,Tier 2,Supermarket Type1,5127.0
FDJ44,12.3,Regular,10.6,Fruits and Vegetables,172.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2617.0
NCI31,,Low Fat,8.1,Others,37.52,OUT027,1985,Medium,Tier 3,Supermarket Type3,842.0
FDZ52,19.2,Low Fat,10.0,Frozen Foods,112.49,OUT035,2004,Small,Tier 2,Supermarket Type1,1223.0
FDE17,20.1,Regular,5.5,Frozen Foods,152.14,OUT049,1999,Medium,Tier 1,Supermarket Type1,756.0
FDG34,11.5,Regular,3.8,Snack Foods,109.53,OUT018,2009,Medium,Tier 3,Supermarket Type2,1953.0
FDE26,9.3,Low Fat,14.9,Canned,143.08,OUT010,1998,,Tier 3,Grocery Store,289.0
FDD56,15.2,Regular,10.4,Fruits and Vegetables,176.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,2977.0
FDR52,12.65,Regular,7.6,Frozen Foods,191.38,OUT045,2002,,Tier 2,Supermarket Type1,2675.0
FDQ13,11.1,LF,1.1,Canned,84.19,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0
NCJ42,,Low Fat,2.5,Household,102.73,OUT019,1985,Small,Tier 1,Grocery Store,410.0
FDH10,,Low Fat,8.6,Snack Foods,192.65,OUT019,1985,Small,Tier 1,Grocery Store,387.0
NCG42,19.2,Low Fat,4.1,Household,131.23,OUT035,2004,Small,Tier 2,Supermarket Type1,3635.0
FDT31,19.75,Low Fat,1.2,Fruits and Vegetables,187.59,OUT045,2002,,Tier 2,Supermarket Type1,1324.0
DRD25,6.135,Low Fat,7.9,Soft Drinks,112.69,OUT045,2002,,Tier 2,Supermarket Type1,2943.0
FDR35,12.5,Low Fat,2.1,Breads,199.17,OUT035,2004,Small,Tier 2,Supermarket Type1,4380.0
FDL33,7.235,Low Fat,10.0,Snack Foods,193.95,OUT045,2002,,Tier 2,Supermarket Type1,2936.0
FDT45,15.85,Low Fat,5.7,Snack Foods,53.4,OUT035,2004,Small,Tier 2,Supermarket Type1,601.0
FDT16,9.895,Regular,4.9,Frozen Foods,260.53,OUT045,2002,,Tier 2,Supermarket Type1,8851.0
DRE49,20.75,Low Fat,0.0,Soft Drinks,153.0,OUT035,2004,Small,Tier 2,Supermarket Type1,2429.0
DRF60,10.8,Low Fat,5.2,Soft Drinks,239.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,3814.0
NCB54,8.76,Low Fat,5.0,Health and Hygiene,128.33,OUT049,1999,Medium,Tier 1,Supermarket Type1,2557.0
FDH20,16.1,Regular,2.5,Fruits and Vegetables,97.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1255.0
FDA31,7.1,Low Fat,11.0,Fruits and Vegetables,172.91,OUT035,2004,Small,Tier 2,Supermarket Type1,2770.0
FDE33,19.35,Regular,5.0,Fruits and Vegetables,76.86,OUT045,2002,,Tier 2,Supermarket Type1,1571.0
FDM12,16.7,reg,11.7,Baking Goods,189.22,OUT010,1998,,Tier 3,Grocery Store,188.0
FDW44,9.5,Regular,3.5,Fruits and Vegetables,168.64,OUT013,1987,High,Tier 3,Supermarket Type1,1023.0
DRE48,8.43,Low Fat,1.7,Soft Drinks,197.88,OUT013,1987,High,Tier 3,Supermarket Type1,3744.0
NCX18,14.15,Low Fat,0.9,Household,196.51,OUT045,2002,,Tier 2,Supermarket Type1,2750.0
FDA38,5.44,Low Fat,2.6,Dairy,239.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,481.0
FDQ19,7.35,Regular,1.4,Fruits and Vegetables,242.65,OUT013,1987,High,Tier 3,Supermarket Type1,969.0
FDY47,,Regular,5.4,Breads,129.13,OUT027,1985,Medium,Tier 3,Supermarket Type3,4934.0
FDE17,20.1,Regular,5.4,Frozen Foods,151.34,OUT013,1987,High,Tier 3,Supermarket Type1,2720.0
FDY25,12.0,Low Fat,3.4,Canned,181.9,OUT046,1997,Small,Tier 1,Supermarket Type1,4527.0
FDT03,21.25,Low Fat,1.0,Meat,185.56,OUT035,2004,Small,Tier 2,Supermarket Type1,3124.0
FDB49,8.3,Regular,3.0,Baking Goods,98.04,OUT045,2002,,Tier 2,Supermarket Type1,2858.0
FDL43,10.1,Low Fat,2.7,Meat,76.07,OUT017,2007,,Tier 2,Supermarket Type1,1455.0
FDE47,14.15,Low Fat,3.8,Starchy Foods,123.5,OUT017,2007,,Tier 2,Supermarket Type1,1992.0
FDS49,9.0,Low Fat,8.0,Canned,78.36,OUT045,2002,,Tier 2,Supermarket Type1,1728.0
FDU23,12.15,Low Fat,2.2,Breads,163.62,OUT018,2009,Medium,Tier 3,Supermarket Type2,2312.0
FDU38,,Low Fat,8.2,Dairy,192.95,OUT027,1985,Medium,Tier 3,Supermarket Type3,7478.0
FDV09,,Low Fat,3.6,Snack Foods,148.07,OUT019,1985,Small,Tier 1,Grocery Store,594.0
FDR20,20.0,Regular,2.8,Fruits and Vegetables,45.57,OUT049,1999,Medium,Tier 1,Supermarket Type1,453.0
FDY11,6.71,Regular,3.0,Baking Goods,65.81,OUT046,1997,Small,Tier 1,Supermarket Type1,857.0
FDG40,,Low Fat,4.0,Frozen Foods,31.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,985.0
FDX20,7.365,Low Fat,4.3,Fruits and Vegetables,228.37,OUT017,2007,,Tier 2,Supermarket Type1,2037.0
FDZ27,7.935,LF,1.7,Dairy,50.04,OUT013,1987,High,Tier 3,Supermarket Type1,150.0
FDH09,12.6,Low Fat,5.6,Seafood,51.4,OUT017,2007,,Tier 2,Supermarket Type1,473.0
FDG29,17.6,Low Fat,5.6,Frozen Foods,42.75,OUT049,1999,Medium,Tier 1,Supermarket Type1,294.0
NCA30,19.0,low fat,13.0,Household,190.19,OUT049,1999,Medium,Tier 1,Supermarket Type1,5105.0
NCL53,7.5,Low Fat,3.6,Health and Hygiene,175.3,OUT017,2007,,Tier 2,Supermarket Type1,3011.0
DRE15,13.35,Low Fat,0.0,Dairy,77.6,OUT046,1997,Small,Tier 1,Supermarket Type1,987.0
NCS38,8.6,Low Fat,9.0,Household,112.92,OUT046,1997,Small,Tier 1,Supermarket Type1,458.0
FDY21,,LF,30.4,Snack Foods,196.01,OUT019,1985,Small,Tier 1,Grocery Store,589.0
FDB58,10.5,Regular,2.3,Snack Foods,140.62,OUT010,1998,,Tier 3,Grocery Store,284.0
FDH41,9.0,Low Fat,8.2,Frozen Foods,213.35,OUT046,1997,Small,Tier 1,Supermarket Type1,1935.0
DRF23,4.61,Low Fat,12.3,Hard Drinks,172.44,OUT049,1999,Medium,Tier 1,Supermarket Type1,1570.0
FDE05,10.895,Regular,5.4,Frozen Foods,146.21,OUT010,1998,,Tier 3,Grocery Store,437.0
FDY10,17.6,Low Fat,4.9,Snack Foods,112.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,1718.0
FDS43,11.65,Low Fat,4.1,Fruits and Vegetables,188.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,1305.0
NCM30,19.1,Low Fat,6.7,Household,41.98,OUT049,1999,Medium,Tier 1,Supermarket Type1,784.0
FDY49,17.2,Regular,1.2,Canned,165.72,OUT045,2002,,Tier 2,Supermarket Type1,1816.0
FDN02,16.5,Low Fat,7.4,Canned,206.86,OUT045,2002,,Tier 2,Supermarket Type1,2071.0
FDP37,15.6,Low Fat,14.3,Breakfast,128.1,OUT045,2002,,Tier 2,Supermarket Type1,2184.0
NCF07,9.0,Low Fat,3.2,Household,99.6,OUT035,2004,Small,Tier 2,Supermarket Type1,1923.0
FDJ09,15.0,Low Fat,5.8,Snack Foods,44.07,OUT013,1987,High,Tier 3,Supermarket Type1,634.0
FDO23,,Low Fat,14.6,Breads,94.34,OUT027,1985,Medium,Tier 3,Supermarket Type3,2269.0
FDH09,,Low Fat,5.6,Seafood,52.5,OUT027,1985,Medium,Tier 3,Supermarket Type3,1210.0
FDX34,6.195,Low Fat,7.2,Snack Foods,119.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,1205.0
FDV60,20.2,Regular,11.8,Baking Goods,197.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,3339.0
FDE32,20.7,Low Fat,4.9,Fruits and Vegetables,38.75,OUT013,1987,High,Tier 3,Supermarket Type1,228.0
NCI30,20.25,Low Fat,5.9,Household,245.05,OUT018,2009,Medium,Tier 3,Supermarket Type2,4681.0
FDS37,7.655,Low Fat,3.2,Canned,117.75,OUT013,1987,High,Tier 3,Supermarket Type1,695.0
FDC57,,Regular,9.6,Fruits and Vegetables,193.98,OUT019,1985,Small,Tier 1,Grocery Store,579.0
DRC01,5.92,Regular,1.9,Soft Drinks,49.07,OUT017,2007,,Tier 2,Supermarket Type1,1478.0
DRD27,18.75,Low Fat,2.4,Dairy,99.0,OUT017,2007,,Tier 2,Supermarket Type1,694.0
FDI12,9.395,Regular,10.1,Baking Goods,88.39,OUT045,2002,,Tier 2,Supermarket Type1,703.0
FDQ33,13.35,Low Fat,9.1,Snack Foods,149.37,OUT035,2004,Small,Tier 2,Supermarket Type1,4514.0
FDQ27,,Regular,7.7,Meat,101.4,OUT019,1985,Small,Tier 1,Grocery Store,206.0
NCB07,19.2,Low Fat,13.0,Household,196.21,OUT010,1998,,Tier 3,Grocery Store,589.0
FDC08,19.0,Regular,10.3,Fruits and Vegetables,226.17,OUT013,1987,High,Tier 3,Supermarket Type1,3169.0
FDD20,14.15,LF,2.1,Fruits and Vegetables,124.2,OUT046,1997,Small,Tier 1,Supermarket Type1,2490.0
FDS24,20.85,Regular,6.2,Baking Goods,88.15,OUT035,2004,Small,Tier 2,Supermarket Type1,1151.0
FDH34,8.63,Low Fat,3.1,Snack Foods,186.06,OUT017,2007,,Tier 2,Supermarket Type1,3901.0
NCX30,16.7,Low Fat,2.7,Household,248.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,6440.0
FDM01,7.895,Regular,9.5,Breakfast,104.53,OUT046,1997,Small,Tier 1,Supermarket Type1,1846.0
FDB20,7.72,Low Fat,5.2,Fruits and Vegetables,78.0,OUT013,1987,High,Tier 3,Supermarket Type1,935.0
NCK29,5.615,Low Fat,12.6,Health and Hygiene,121.57,OUT017,2007,,Tier 2,Supermarket Type1,3202.0
FDS11,7.05,Regular,5.6,Breads,224.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,2685.0
NCV41,14.35,Low Fat,2.9,Health and Hygiene,109.22,OUT010,1998,,Tier 3,Grocery Store,221.0
DRL60,8.52,Low Fat,2.7,Soft Drinks,151.77,OUT049,1999,Medium,Tier 1,Supermarket Type1,2439.0
FDV10,7.645,Regular,6.7,Snack Foods,44.01,OUT017,2007,,Tier 2,Supermarket Type1,597.0
FDV09,12.1,Low Fat,2.1,Snack Foods,149.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,2227.0
FDQ39,14.8,Low Fat,8.1,Meat,192.48,OUT046,1997,Small,Tier 1,Supermarket Type1,5159.0
DRE49,20.75,Low Fat,2.1,Soft Drinks,153.6,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.0
FDR45,10.8,Low Fat,2.9,Snack Foods,238.62,OUT045,2002,,Tier 2,Supermarket Type1,8605.0
DRJ23,18.35,Low Fat,7.0,Hard Drinks,190.29,OUT010,1998,,Tier 3,Grocery Store,378.0
FDQ26,13.5,Regular,6.8,Dairy,58.66,OUT018,2009,Medium,Tier 3,Supermarket Type2,711.0
NCA06,20.5,Low Fat,14.4,Household,34.82,OUT017,2007,,Tier 2,Supermarket Type1,1062.0
FDT24,12.35,Regular,18.7,Baking Goods,78.63,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.0
DRG27,8.895,Low Fat,10.5,Dairy,39.11,OUT045,2002,,Tier 2,Supermarket Type1,609.0
FDR02,16.7,Low Fat,2.2,Dairy,110.89,OUT045,2002,,Tier 2,Supermarket Type1,3558.0
DRG37,16.2,Low Fat,1.9,Soft Drinks,155.9,OUT035,2004,Small,Tier 2,Supermarket Type1,2025.0
FDJ07,7.26,Low Fat,1.4,Meat,118.12,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864.0
FDP32,6.65,Low Fat,8.8,Fruits and Vegetables,126.77,OUT049,1999,Medium,Tier 1,Supermarket Type1,1908.0
FDV59,13.35,Low Fat,4.8,Breads,218.92,OUT046,1997,Small,Tier 1,Supermarket Type1,5661.0
FDP60,17.35,Low Fat,5.6,Baking Goods,99.8,OUT035,2004,Small,Tier 2,Supermarket Type1,607.0
FDE32,,Low Fat,4.9,Fruits and Vegetables,39.65,OUT027,1985,Medium,Tier 3,Supermarket Type3,1025.0
FDK26,5.46,Regular,3.2,Canned,187.42,OUT017,2007,,Tier 2,Supermarket Type1,3169.0
FDW28,18.25,Low Fat,8.9,Frozen Foods,197.35,OUT035,2004,Small,Tier 2,Supermarket Type1,2740.0
FDP56,8.185,LF,4.7,Fruits and Vegetables,47.77,OUT049,1999,Medium,Tier 1,Supermarket Type1,640.0
FDT25,7.5,Low Fat,5.1,Canned,122.21,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.0
FDQ12,12.65,Low Fat,3.5,Baking Goods,230.6,OUT035,2004,Small,Tier 2,Supermarket Type1,2067.0
FDR60,14.3,Low Fat,13.0,Baking Goods,77.23,OUT035,2004,Small,Tier 2,Supermarket Type1,232.0
FDZ10,17.85,Low Fat,7.4,Snack Foods,128.0,OUT010,1998,,Tier 3,Grocery Store,253.0
FDM13,6.425,Low Fat,10.6,Breakfast,130.56,OUT010,1998,,Tier 3,Grocery Store,131.0
FDF26,6.825,Regular,4.7,Canned,153.5,OUT045,2002,,Tier 2,Supermarket Type1,2153.0
FDN02,,Low Fat,7.3,Canned,205.36,OUT027,1985,Medium,Tier 3,Supermarket Type3,5384.0
NCI30,20.25,Low Fat,5.9,Household,245.55,OUT013,1987,High,Tier 3,Supermarket Type1,1724.0
NCJ31,19.2,Low Fat,18.3,Others,243.02,OUT049,1999,Medium,Tier 1,Supermarket Type1,3615.0
NCQ54,17.7,Low Fat,2.1,Household,166.85,OUT010,1998,,Tier 3,Grocery Store,168.0
FDB02,9.695,Regular,2.9,Canned,175.44,OUT045,2002,,Tier 2,Supermarket Type1,2999.0
FDC02,,Low Fat,6.8,Canned,259.33,OUT027,1985,Medium,Tier 3,Supermarket Type3,4165.0
FDA11,7.75,LF,4.3,Baking Goods,95.64,OUT045,2002,,Tier 2,Supermarket Type1,1135.0
